Metabolite,HMDB ID,ref,primary,recurrent
N1-Acetyl-Lysine + N6-Acetyl-Lysine,HMDB0000446 + HMDB0000206,0.0625,0.406,0.356
Kynurenic acid,HMDB0000715,0.007,0.184,0.225
Indole-3-propionic acid,HMDB0002302,0.0088,0.304,0.376
p-Hydroxyhippuric acid,HMDB0013678,0.0349,0.485,0.834
N-Acetyl-Histidine,HMDB0032055,0.3846,9.891,13.42
Indolelactic acid,HMDB0000671,0.0125,0.596,0.769
N-Acetyl-Arginine,HMDB0004620,0.3409,0.368,0.41
Pyruvic acid,HMDB0000243,0.1948,59.43,80.66
Oxalic acid,HMDB0002329,1.5384,23.17,12.68
alpha-Ketoisovaleric acid,HMDB0000019,0.0565,31.45,33.47
Fumaric acid,HMDB0000134,0.0236,0.8,0.727
Methylmalonic acid,HMDB0000202,0.0125,0.057,0.034
Succinic acid,HMDB0000254,0.1669,1.732,2.656
Phenylacetylglutamine,HMDB0006344,0.0125,2.867,4.837
2-oxoisocaproic acid,HMDB0000695,0.057,38.95,47.31
Ethylmalonic acid,HMDB0000622,0.0507,0.165,0.225
Glutaric acid,HMDB0000661,0.0048,0.084,0.056
Malic acid,HMDB0000156,0.0225,2.986,2.739
2-hydroxyglutaric acid,HMDB0059655,0.01,0.241,0.237
2-oxoadipic acid,HMDB0000225,1.3393,16.99,28.2
3-Methyladipic acid,HMDB0000555,0.008,0.041,0.02
3-Deoxyglucosone,HMDB0005876,0.011,0.041,0.066
Quinolinic acid,HMDB0000232,0.0099,0.426,0.314
N-Acetyl-Aspartic acid,HMDB0000812,0.0075,0.171,0.181
N-Acetyl-Glutamic acid,HMDB0001138,0.015,0.071,0.058
CMPF,HMDB0061112,0.026,9.69,0.08
alpha-Ketoglutaric acid,HMDB0000208,0.0193,5.978,9.166
cis-Aconitic acid,HMDB0000072,0.0162,1.106,1.282
Citric acid,HMDB0000094,0.7043,280.8,334
